slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
0,0,50,10,0,0,0,0
1,0,50,10,0,0,0,0
2,0,50,10,0,0,0,0
3,0,50,10,0,0,0,0
4,0,50,10,0,0,0,0
5,0,50,10,0,0,0,0
6,0,50,10,0,0,0,0
7,0,50,10,0,0,0,0
24,1,50,10,0,0,0,0
48,2,50,10,0,0,0,0
72,3,50,10,0,0,0,0
96,4,50,0,10,0,0,0
120,5,50,0,10,0,0,0
121,5,50,0,10,0,0,0
122,5,50,0,10,0,0,0
123,5,50,0,10,0,0,0
124,5,50,0,10,0,0,0
125,5,50,0,10,0,0,0
126,5,50,0,10,0,0,0
127,5,49,1,10,0,1,0
144,6,49,1,10,0,0,0
168,7,49,1,10,0,0,0
192,8,49,1,10,0,0,0
216,9,49,1,10,0,0,0
240,10,49,0,11,0,0,0
241,10,48,1,11,0,1,0
242,10,48,1,11,0,0,0
243,10,48,1,11,0,0,0
244,10,48,1,11,0,0,0
245,10,48,1,11,0,0,0
246,10,48,1,11,0,0,0
247,10,48,1,11,0,0,0
264,11,48,1,1,10,0,0
288,12,48,1,1,10,0,0
312,13,48,1,1,10,0,0
336,14,48,1,1,10,0,0
360,15,47,1,2,10,1,0
361,15,47,1,2,10,0,0
362,15,47,1,2,10,0,0
363,15,47,1,2,10,0,0
364,15,47,1,2,10,0,0
365,15,47,1,2,10,0,0
366,15,47,1,2,10,0,0
367,15,47,1,2,10,0,0
384,16,47,1,1,11,0,0
408,17,47,1,1,11,0,0
432,18,47,1,1,11,0,0
456,19,47,0,2,11,0,0
480,20,47,0,2,11,0,0
481,20,47,0,2,11,0,0
482,20,47,0,2,11,0,0
483,20,47,0,2,11,0,0
484,20,47,0,2,11,0,0
485,20,47,0,2,11,0,0
486,20,47,0,2,11,0,0
487,20,47,0,2,11,0,0
504,21,47,0,1,12,0,0
528,22,47,0,1,12,0,0
552,23,47,0,1,12,0,0
576,24,47,0,1,12,0,0
600,25,47,0,1,12,0,0
601,25,47,0,1,12,0,0
602,25,47,0,1,12,0,0
603,25,47,0,1,12,0,0
604,25,47,0,1,12,0,0
605,25,47,0,1,12,0,0
606,25,47,0,1,12,0,0
607,25,47,0,1,12,0,0
624,26,47,0,0,13,0,0
648,27,47,0,0,13,0,0
