slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
0,0,40,20,0,0,0,0
1,0,40,20,0,0,0,0
2,0,40,20,0,0,0,0
3,0,40,20,0,0,0,0
4,0,40,20,0,0,0,0
5,0,40,20,0,0,0,0
6,0,40,20,0,0,0,0
7,0,40,20,0,0,0,0
24,1,40,20,0,0,0,0
48,2,40,20,0,0,0,0
72,3,40,20,0,0,0,0
96,4,40,0,20,0,0,0
120,5,40,0,20,0,0,0
121,5,40,0,20,0,0,0
122,5,39,1,20,0,1,0
123,5,38,2,20,0,1,0
124,5,38,2,20,0,0,0
125,5,38,2,20,0,0,0
126,5,38,2,20,0,0,0
127,5,38,2,20,0,0,0
144,6,38,2,20,0,0,0
168,7,38,2,20,0,0,0
192,8,38,2,20,0,0,0
216,9,38,2,20,0,0,0
240,10,38,0,22,0,0,0
