slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
0,0,50,10,0,0,0,0
1,0,50,10,0,0,0,0
2,0,50,10,0,0,0,0
3,0,50,10,0,0,0,0
4,0,50,10,0,0,0,0
5,0,50,10,0,0,0,0
6,0,50,10,0,0,0,0
7,0,50,10,0,0,0,0
24,1,50,10,0,0,0,0
48,2,50,10,0,0,0,0
72,3,50,10,0,0,0,0
96,4,50,0,10,0,0,0
120,5,50,0,10,0,0,0
121,5,50,0,10,0,0,0
122,5,50,0,10,0,0,0
123,5,50,0,10,0,0,0
124,5,49,1,10,0,1,0
125,5,49,1,10,0,0,0
126,5,49,1,10,0,0,0
127,5,49,1,10,0,0,0
144,6,49,1,10,0,0,0
168,7,49,1,10,0,0,0
192,8,49,1,10,0,0,0
216,9,49,1,10,0,0,0
240,10,49,0,11,0,0,0
241,10,49,0,11,0,0,0
242,10,49,0,11,0,0,0
243,10,49,0,11,0,0,0
244,10,49,0,11,0,0,0
245,10,49,0,11,0,0,0
246,10,49,0,11,0,0,0
247,10,49,0,11,0,0,0
264,11,49,0,1,10,0,0
288,12,49,0,1,10,0,0
312,13,49,0,1,10,0,0
336,14,49,0,1,10,0,0
360,15,49,0,1,10,0,0
361,15,49,0,1,10,0,0
362,15,49,0,1,10,0,0
363,15,49,0,1,10,0,0
364,15,49,0,1,10,0,0
365,15,49,0,1,10,0,0
366,15,49,0,1,10,0,0
367,15,49,0,1,10,0,0
384,16,49,0,0,11,0,0
408,17,49,0,0,11,0,0
432,18,49,0,0,11,0,0
456,19,49,0,0,11,0,0
480,20,49,0,0,11,0,0
481,20,49,0,0,11,0,0
482,20,49,0,0,11,0,0
483,20,49,0,0,11,0,0
484,20,49,0,0,11,0,0
485,20,49,0,0,11,0,0
486,20,49,0,0,11,0,0
487,20,49,0,0,11,0,0
504,21,49,0,0,11,0,0
528,22,49,0,0,11,0,0
552,23,49,0,0,11,0,0
576,24,49,0,0,11,0,0
600,25,49,0,0,11,0,0
601,25,49,0,0,11,0,0
602,25,49,0,0,11,0,0
603,25,49,0,0,11,0,0
604,25,49,0,0,11,0,0
605,25,49,0,0,11,0,0
606,25,49,0,0,11,0,0
607,25,49,0,0,11,0,0
624,26,49,0,0,11,0,0
648,27,49,0,0,11,0,0
672,28,49,0,0,11,0,0
696,29,49,0,0,11,0,0
720,30,49,0,0,11,0,0
721,30,49,0,0,11,0,0
722,30,49,0,0,11,0,0
723,30,49,0,0,11,0,0
724,30,49,0,0,11,0,0
725,30,49,0,0,11,0,0
726,30,49,0,0,11,0,0
727,30,49,0,0,11,0,0
744,31,49,0,0,11,0,0
768,32,49,0,0,11,0,0
792,33,49,0,0,11,0,0
816,34,49,0,0,11,0,0
840,35,49,0,0,11,0,0
841,35,49,0,0,11,0,0
842,35,49,0,0,11,0,0
843,35,49,0,0,11,0,0
844,35,49,0,0,11,0,0
845,35,49,0,0,11,0,0
846,35,49,0,0,11,0,0
847,35,49,0,0,11,0,0
864,36,49,0,0,11,0,0
888,37,49,0,0,11,0,0
912,38,49,0,0,11,0,0
936,39,49,0,0,11,0,0
960,40,49,0,0,11,0,0
961,40,49,0,0,11,0,0
962,40,49,0,0,11,0,0
963,40,49,0,0,11,0,0
964,40,49,0,0,11,0,0
965,40,49,0,0,11,0,0
966,40,49,0,0,11,0,0
967,40,49,0,0,11,0,0
984,41,49,0,0,11,0,0
1008,42,49,0,0,11,0,0
1032,43,49,0,0,11,0,0
1056,44,49,0,0,11,0,0
1080,45,49,0,0,11,0,0
1081,45,49,0,0,11,0,0
1082,45,49,0,0,11,0,0
1083,45,49,0,0,11,0,0
1084,45,49,0,0,11,0,0
1085,45,49,0,0,11,0,0
1086,45,49,0,0,11,0,0
1087,45,49,0,0,11,0,0
1104,46,49,0,0,11,0,0
1128,47,49,0,0,11,0,0
1152,48,49,0,0,11,0,0
1176,49,49,0,0,11,0,0
1200,50,49,0,0,11,0,0
1201,50,49,0,0,11,0,0
1202,50,49,0,0,11,0,0
1203,50,49,0,0,11,0,0
1204,50,49,0,0,11,0,0
1205,50,49,0,0,11,0,0
1206,50,49,0,0,11,0,0
1207,50,49,0,0,11,0,0
1224,51,49,0,0,11,0,0
1248,52,49,0,0,11,0,0
1272,53,49,0,0,11,0,0
1296,54,49,0,0,11,0,0
1320,55,49,0,0,11,0,0
1321,55,49,0,0,11,0,0
1322,55,49,0,0,11,0,0
1323,55,49,0,0,11,0,0
1324,55,49,0,0,11,0,0
1325,55,49,0,0,11,0,0
1326,55,49,0,0,11,0,0
1327,55,49,0,0,11,0,0
1344,56,49,0,0,11,0,0
1368,57,49,0,0,11,0,0
1392,58,49,0,0,11,0,0
