slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
0,0,50,10,0,0,0,0
1,0,50,10,0,0,0,0
2,0,50,10,0,0,0,0
3,0,50,10,0,0,0,0
4,0,50,10,0,0,0,0
5,0,50,10,0,0,0,0
6,0,50,10,0,0,0,0
7,0,50,10,0,0,0,0
24,1,50,10,0,0,0,0
48,2,50,10,0,0,0,0
72,3,50,10,0,0,0,0
96,4,50,0,10,0,0,0
120,5,49,1,10,0,1,0
121,5,48,2,10,0,1,0
122,5,48,2,10,0,0,0
123,5,48,2,10,0,0,0
124,5,48,2,10,0,0,0
125,5,48,2,10,0,0,0
126,5,48,2,10,0,0,0
127,5,48,2,10,0,0,0
144,6,48,2,10,0,0,0
168,7,48,2,10,0,0,0
192,8,48,2,10,0,0,0
216,9,48,1,11,0,0,0
240,10,48,0,12,0,0,0
241,10,47,1,12,0,1,0
242,10,46,2,12,0,1,0
243,10,46,2,12,0,0,0
244,10,46,2,12,0,0,0
245,10,46,2,12,0,0,0
246,10,46,2,12,0,0,0
247,10,46,2,12,0,0,0
264,11,46,2,2,10,0,0
288,12,46,2,2,10,0,0
312,13,46,2,2,10,0,0
336,14,46,2,2,10,0,0
360,15,46,0,4,10,0,0
361,15,46,0,4,10,0,0
362,15,46,0,4,10,0,0
363,15,46,0,4,10,0,0
364,15,46,0,4,10,0,0
365,15,46,0,4,10,0,0
366,15,46,0,4,10,0,0
367,15,46,0,4,10,0,0
384,16,46,0,2,12,0,0
408,17,46,0,2,12,0,0
432,18,46,0,2,12,0,0
456,19,46,0,2,12,0,0
480,20,46,0,2,12,0,0
481,20,46,0,2,12,0,0
482,20,46,0,2,12,0,0
483,20,46,0,2,12,0,0
484,20,46,0,2,12,0,0
485,20,46,0,2,12,0,0
486,20,46,0,2,12,0,0
487,20,46,0,2,12,0,0
504,21,46,0,0,14,0,0
528,22,46,0,0,14,0,0
552,23,46,0,0,14,0,0
576,24,46,0,0,14,0,0
600,25,46,0,0,14,0,0
601,25,46,0,0,14,0,0
602,25,46,0,0,14,0,0
603,25,46,0,0,14,0,0
604,25,46,0,0,14,0,0
605,25,46,0,0,14,0,0
606,25,46,0,0,14,0,0
607,25,46,0,0,14,0,0
624,26,46,0,0,14,0,0
648,27,46,0,0,14,0,0
672,28,46,0,0,14,0,0
696,29,46,0,0,14,0,0
720,30,46,0,0,14,0,0
721,30,46,0,0,14,0,0
722,30,46,0,0,14,0,0
723,30,46,0,0,14,0,0
724,30,46,0,0,14,0,0
725,30,46,0,0,14,0,0
726,30,46,0,0,14,0,0
727,30,46,0,0,14,0,0
744,31,46,0,0,14,0,0
768,32,46,0,0,14,0,0
792,33,46,0,0,14,0,0
816,34,46,0,0,14,0,0
840,35,46,0,0,14,0,0
841,35,46,0,0,14,0,0
842,35,46,0,0,14,0,0
843,35,46,0,0,14,0,0
844,35,46,0,0,14,0,0
845,35,46,0,0,14,0,0
846,35,46,0,0,14,0,0
847,35,46,0,0,14,0,0
864,36,46,0,0,14,0,0
888,37,46,0,0,14,0,0
912,38,46,0,0,14,0,0
936,39,46,0,0,14,0,0
960,40,46,0,0,14,0,0
961,40,46,0,0,14,0,0
962,40,46,0,0,14,0,0
963,40,46,0,0,14,0,0
964,40,46,0,0,14,0,0
965,40,46,0,0,14,0,0
966,40,46,0,0,14,0,0
967,40,46,0,0,14,0,0
984,41,46,0,0,14,0,0
1008,42,46,0,0,14,0,0
1032,43,46,0,0,14,0,0
1056,44,46,0,0,14,0,0
1080,45,46,0,0,14,0,0
1081,45,46,0,0,14,0,0
1082,45,46,0,0,14,0,0
1083,45,46,0,0,14,0,0
1084,45,46,0,0,14,0,0
1085,45,46,0,0,14,0,0
1086,45,46,0,0,14,0,0
1087,45,46,0,0,14,0,0
1104,46,46,0,0,14,0,0
1128,47,46,0,0,14,0,0
1152,48,46,0,0,14,0,0
1176,49,46,0,0,14,0,0
1200,50,46,0,0,14,0,0
1201,50,46,0,0,14,0,0
1202,50,46,0,0,14,0,0
1203,50,46,0,0,14,0,0
1204,50,46,0,0,14,0,0
1205,50,46,0,0,14,0,0
1206,50,46,0,0,14,0,0
1207,50,46,0,0,14,0,0
1224,51,46,0,0,14,0,0
1248,52,46,0,0,14,0,0
1272,53,46,0,0,14,0,0
1296,54,46,0,0,14,0,0
1320,55,46,0,0,14,0,0
1321,55,46,0,0,14,0,0
1322,55,46,0,0,14,0,0
1323,55,46,0,0,14,0,0
1324,55,46,0,0,14,0,0
1325,55,46,0,0,14,0,0
1326,55,46,0,0,14,0,0
1327,55,46,0,0,14,0,0
1344,56,46,0,0,14,0,0
1368,57,46,0,0,14,0,0
1392,58,46,0,0,14,0,0
